last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Stephenson, Tyler,663886,255,9.1,34.1,111.1,88.5,94,83.4,405,155,373,106,41.7,18,7.1,4.4
Davis, J.D.,605204,255,7.7,34.5,111.3,91.4,94.8,89.6,441,150,397,119,46.7,25,9.8,5.8
Rojas, Miguel,500743,255,12,36.1,108.7,87.8,90.1,87.5,391,159,387,87,34.1,8,3.1,2.5
Berti, Jon,542932,254,4,29.5,110.7,86.1,92.1,83.2,417,138,404,82,32.3,10,3.9,3
McCutchen, Andrew,457705,254,12.5,35.4,109.8,89.5,93.9,84.5,442,172,384,110,43.3,17,6.7,4.1
Canha, Mark,592192,254,12.3,31.9,109.2,88.3,91.9,87,414,156,385,97,38.2,13,5.1,3.7
Jiménez, Eloy,650391,252,5.5,26.6,113.5,91.2,95,90.5,434,144,404,122,48.4,25,9.9,7.3
Raleigh, Cal,663728,252,19.9,35.7,113.7,89.6,94.9,84.6,450,184,397,102,40.5,34,13.5,8.3
Grisham, Trent,663757,252,19.4,32.1,112.3,91,96.6,85.5,424,182,401,107,42.5,36,14.3,8.2
Peralta, David,444482,249,9.1,31.7,111.5,90.4,93,89,415,154,403,116,46.6,15,6,4.7
Estrada, Thairo,642731,248,11.2,36.3,110.5,86,90.7,81.9,441,165,402,86,34.7,13,5.2,3.6
Marte, Starling,516782,248,6.3,30.6,110.9,88.2,92.7,84.5,423,145,413,98,39.5,14,5.6,4.1
Casas, Triston,671213,245,15.7,35.9,113.2,91.6,96,86.1,442,186,409,115,46.9,36,14.7,9
Lowe, Josh,666139,244,14.9,35.2,113.3,88.8,92.7,85.5,455,177,412,95,38.9,27,11.1,7.5
Ramírez, Harold,623912,241,7.1,29,111.3,89.4,91,88.6,441,139,398,99,41.1,11,4.6,3.4
Kirk, Alejandro,672386,240,5.9,31.7,107.7,87.2,91.3,85.1,407,147,387,86,35.8,12,5,3.9
Drury, Brandon,592273,239,12.5,33.5,112.5,90.1,93.8,87.5,441,170,399,110,46,25,10.5,7.1
Kepler, Max,596146,238,13.2,36.6,111,91.6,94.1,89.4,440,188,409,108,45.4,31,13,9
Flores, Wilmer,527038,238,24.7,36.6,108.7,86.1,90.3,84.5,410,195,391,75,31.5,17,7.1,5.5
Duran, Ezequiel,677649,238,15.3,37,115.2,90.5,93.7,88.2,443,176,414,107,45,24,10.1,6.6
Harper, Bryce,547180,238,8.8,36.6,113.7,91.6,96.2,87.9,445,161,414,106,44.5,33,13.9,8.8
Massey, Michael,686681,238,19.1,39.5,110.3,90,92.8,87.7,417,189,398,101,42.4,20,8.4,6
Burger, Jake,669394,236,11.9,32.6,118.2,92.2,97.9,89.5,461,166,401,119,50.4,43,18.2,11.3
Duran, Jarren,680776,235,11,31.9,112.6,90,93.6,87.4,434,161,391,111,47.2,13,5.5,3.7
Wiemer, Joey,686894,234,11.7,29.1,112.8,89.4,93.8,86.6,432,163,401,92,39.3,23,9.8,6.1
Olivares, Edward,658668,234,12.5,32.5,111,86.9,91.8,84.7,452,158,417,87,37.2,16,6.8,5.2
Martinez, J.D.,502110,233,18.3,41.6,112.1,93.1,96.9,87.7,438,209,400,128,54.9,41,17.6,10.7
Gorman, Nolan,669357,233,22,39.5,112.3,91.1,95.6,85,446,204,410,112,48.1,37,15.9,9.1
Muncy, Max,571970,232,22.3,30.2,111.1,90.7,96.6,83.4,435,193,396,109,47,38,16.4,9.2
Miller, Owen,680911,232,12.8,34.5,107.5,86.3,89.4,83.4,416,167,403,72,31,8,3.4,2.6
Grandal, Yasmani,518735,232,10.4,33.2,110.4,88.1,91.7,85.4,428,163,398,80,34.5,13,5.6,3.8
Langeliers, Shea,669127,231,20.3,27.7,112.2,89.8,95.5,86,440,160,411,98,42.4,24,10.4,6.4
Fraley, Jake,641584,231,15.8,37.7,111.7,85.1,89.1,82.8,419,171,384,74,32,16,6.9,4.9
Grichuk, Randal,545341,230,15.5,34.3,111.2,89.6,92.4,88.1,445,168,412,98,42.6,15,6.5,4.7
